,review,clean_review,Topic_Number,Topic_Name
0,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we donâ€™t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"['banking', 'interest', 'rate', 'please', 'payee', 'number', 'account', 'number', 'debit', 'card', 'apple']",7,Competition
1,"A bank like no other, no bank have such amazing feature to separate your money into different â€œpocketsâ€ to keep track of your goals. Moreover the interest rate they give is the highest for the no effort! Interest are being deposit daily and itâ€™s amazing to see ğŸ’µ coming in to the bank daily! 

The user interfaces is so intuitive that every button can be found with your eyes close, that makes money transfer so much smoother. Also the colours is so slick that I want to turn the app on everyday just to look at it and see the daily interest

Lots of potential for the product and I canâ€™t wait to see more of it.","['bank', 'bank', 'feature', 'money', 'pocket', 'track', 'goal', 'moreover', 'interest', 'rate', 'effort', 'interest', 'deposit', 'bank', 'user', 'interface', 'button', 'found', 'eye', 'money', 'transfer', 'smoother', 'colour', 'slick', 'want', 'turn', 'everyday', 'look', 'interest', 'lot', 'product', 'wait']",7,Competition
2,"Notice that the drop in interest rate of 0.8% in saving accounts. GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 1.2x points for dash and grab spending. Hence they decrease the interest rate to 2.68% in saving account and increase to 2.38% in main account .

The thing is GXS can increase the main account interest and maintain the interest rate in saving account. They will attract more consumer in this case. However, they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease.

I am very disappointed in GXS and have close my account in GXS. There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts. No point sticking to GXS.","['notice', 'drop', 'interest', 'rate', 'account', 'reason', 'consumer', 'want', 'increase', 'interest', 'rate', 'account', 'fund', 'point', 'dash', 'grab', 'spending', 'hence', 'decrease', 'interest', 'rate', 'account', 'increase', 'account', 'thing', 'increase', 'account', 'interest', 'maintain', 'interest', 'rate', 'account', 'attract', 'consumer', 'case', 'opportunity', 'decease', 'interest', 'rate', 'account', 'consumer', 'excuse', 'decrease', 'account', 'bank', 'offering', 'interest', 'rate', 'ocbc', 'account', 'point']",7,Competition
3,"Sending money into my GXS account is a breeze and instantaneous - regardless of the amounts. Iâ€™m able to immediately see that my funds are in GXS. 

Transferring money OUT is a huge issue. Since June Iâ€™ve had problems transferring amounts higher than $500 back to my other banking accounts, each time a red banner will pop up and said something went wrong please try again later. TODAY I canâ€™t transfer more than $1000 back to myself - even the $1000 had to be transferred in TWO transactions of $500 each. Customer service officers did their best to help each time but itâ€™s annoying that the advice provided (killing the app, re-logging in with SingPass) still donâ€™t work.","['money', 'account', 'breeze', 'amount', 'fund', 'money', 'issue', 'june', 'problem', 'amount', 'banking', 'account', 'time', 'banner', 'something', 'please', 'today', 'transfer', 'transaction', 'customer', 'service', 'officer', 'help', 'time', 'advice', 'singpass', 'work']",5,Credit card
4,"I have to say that the UI/UX is one of the best one Iâ€™ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesnâ€™t differ much for any banks out there. Please make it available asap canâ€™t wait to see what you have to offer!","['digibank', 'mobile', 'market', 'player', 'focus', 'customer', 'experience', 'design', 'banking', 'product', 'differ', 'bank', 'please', 'asap', 'wait', 'offer']",7,Competition
5,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people canâ€™t help but compare to the other bank â€œtrust bank Singaporeâ€ that also launched just 1 day before GXSâ€™s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)","['slot', 'account', 'month', 'nothing', 'whenever', 'anyone', 'excuse', 'change', 'improvement', 'help', 'compare', 'bank', 'trust', 'bank', 'singapore', 'launch', 'trust', 'bank', 'singapore', 'trust', 'bank', 'register']",2,Customer Services
6,"Great app, with awesome design and theme unlike traditional banking institutions. Provide high interest rates and suitable for targeted group of audience. Ratings were probably dragged down by reviewers who rated 1/5 because they couldnâ€™t sign up - as GXS bank is rolling out to users by batches.

Overall a good experience! :)","['awesome', 'design', 'theme', 'banking', 'institution', 'provide', 'interest', 'rate', 'group', 'audience', 'rating', 'reviewer', 'sign', 'bank', 'user', 'batch', 'experience']",2,Customer Services
7,"Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didnâ€™t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I donâ€™t need developer reply to my review here as Iâ€™m absolutely not going to touch this bank anymore. And biggest joke of all, you donâ€™t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???","['fast', 'reversal', 'money', 'bank', 'time', 'life', 'fast', 'transfer', 'review', 'medium', 'bank', 'review', 'issue', 'need', 'developer', 'reply', 'review', 'touch', 'bank', 'joke', 'banking', 'feature', 'payee', 'detail', 'kind', 'development', 'staff', 'quality']",2,Customer Services
8,"Very easy to use, user friendly and intuitive. Nice design of the app making it easier to navigate the app. Saving pocket is an interesting and useful feature. canâ€™t wait to explore and use more of the app","['user', 'design', 'navigate', 'pocket', 'feature', 'wait', 'explore']",3,Services & Products
9,"What a joke! Nothing happens after you input your phone number - nothing! 

Itâ€™ll be so much, and I donâ€™t exaggerate when I say this, so much faster for you to travel from one end of Singapore to the other, to open an account at a traditional bank branch. 

One piece of advice to the management of GXS Bank - do not launch if you are not ready! You are a joke. Please look at Trust Bank. Simple and easy to use. Account opened in like, 2 mins?","['joke', 'nothing', 'input', 'phone', 'number', 'nothing', 'exaggerate', 'faster', 'travel', 'singapore', 'account', 'bank', 'branch', 'piece', 'advice', 'management', 'bank', 'launch', 'joke', 'please', 'look', 'trust', 'bank', 'simple', 'account', 'min']",7,Competition
10,Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you,"['time', 'digital', 'banking', 'worry', 'experience', 'return', 'offer', 'interest', 'continue', 'deposit', 'thank']",0,App Responsiveness
11,"My biggest frustration is that I canâ€™t save payees when sending money.  Everytime I need to transfer funds, I have to select a transfer type and fully type out the account number, payeeâ€™s name, and select the bank.

This is incredibly tedious esp for accounts I pay frequently. Without this â€œfundamentalâ€ feature a payee list, itâ€™s easy to make mistakes entering long account number, name and bank name each time.","['frustration', 'payee', 'money', 'everytime', 'need', 'transfer', 'fund', 'select', 'transfer', 'type', 'type', 'account', 'number', 'payee', 'name', 'select', 'bank', 'account', 'feature', 'payee', 'list', 'mistake', 'account', 'number', 'name', 'bank', 'name', 'time']",7,Competition
12,"Best bank to save up and best bank in receiving cash back! And also, so happy to be able to win a lucky draw from here! Hopefully things get much better in this year!","['bank', 'bank', 'cash', 'draw', 'thing', 'year']",2,Customer Services
13,"App is very responsive, and interface is simple but comprehensive. Transaction speeds are very quick too.","['responsive', 'interface', 'simple', 'comprehensive', 'transaction', 'speed', 'quick']",2,Customer Services
14,Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.,"['lengthy', 'account', 'credit', 'card', 'switch', 'account']",5,Credit card
15,"GXS offers seamless, fast and super effective digital services. 
Never ever I had such experience with other banks. GXS definitely is the bank of future! 
You must try it to believe!","['offer', 'seamless', 'fast', 'super', 'digital', 'service', 'experience', 'bank', 'bank', 'future']",0,App Responsiveness
16,"I recently used this digital bank, which has many security features and user friendly UI.
I 100% recommend to used this App.","['digital', 'bank', 'security', 'feature', 'user', 'recommend']","0,6",App Responsiveness & Login & Account Setup
17,"The appâ€™s interface is really user friendly and sleek! It loads very fast as well, canâ€™t wait to start using this digital bank app :)","['interface', 'user', 'sleek', 'load', 'fast', 'wait', 'start', 'digital', 'bank']",8,Safety
18,Already 1 year but basic functions like adding payee is not in the app. Itâ€™s so troublesome to transfer funds to different bank accounts! With your latest move to reduce interest to 2.68% has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app,"['year', 'function', 'payee', 'troublesome', 'transfer', 'fund', 'bank', 'account', 'move', 'interest', 'feel', 'maribank', 'interest', 'rate', 'function', 'include']",7,Competition
19,"Extremely disappointed with the GXS app. Despite consistent use on the same device for a long time, it suddenly stopped allowing money transfers with explanation device changed. This lack of clarity and abrupt disruption in service is unacceptable. Terrible user experience, deserves only 1 star.","['consistent', 'device', 'time', 'money', 'transfer', 'explanation', 'device', 'lack', 'clarity', 'abrupt', 'disruption', 'service', 'user', 'experience', 'star']",3,Services & Products
20,"Wish more people can download and use, and more rewards can be given.","['wish', 'download', 'reward']",7,Competition
21,Can try for saving money !! My money said they liked there,"['money', 'money']",3,Services & Products
22,Everything is perfect. Ease of use. Fast transfer for quick cash. Repayment is easy and low interest. This app is a life saver literally :),"['everything', 'perfect', 'ease', 'fast', 'transfer', 'quick', 'cash', 'repayment', 'interest', 'life', 'saver']",2,Customer Services
23,Easy drawing and repayment option. Flexible of choice at any time with any needs. Like it and good tool for emergency money with flexible borrowing and repayment.,"['repayment', 'option', 'choice', 'time', 'need', 'tool', 'emergency', 'money', 'borrowing', 'repayment']",2,Customer Services
24,"Ease of use.
Pay anytime before due is possible. 
Emergency moolahs are here without breaking your bank!","['ease', 'anytime', 'emergency', 'moolah', 'bank']",2,Customer Services
25,J got recommended to try out this app by a fren and i love it! Itâ€™s convenient and easy to use and i can see myself committing to this in the long term! :),"['love', 'convenient', 'term']",6,Login & Account Setup
26,the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential ğŸ‘ğŸ¼,"['navigate', 'excellent', 'love', 'pocket', 'interest', 'rate', 'worth', 'wait']",4,User Interface
27,My fav feature is the saving pockets can't wait to build my savings with the good interest rates. amazing user interface!,"['feature', 'pocket', 'wait', 'build', 'interest', 'rate', 'user', 'interface']","4,7",User Interface & Competition
28,Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?,"['doesnt', 'seem', 'sign', 'stay', 'tune', 'phone', 'number', 'cant', 'screen', 'store']",3,Services & Products
29,Very easy to navigate and super fluid UI. Lovely bank and recommended everyone to join with ease of mind.,"['navigate', 'super', 'fluid', 'bank', 'everyone', 'join', 'ease', 'mind']",7,Competition
30,No more long waits and tons of paperwork to open a bank account. Looking forward to how GXS can generate a stronger value proposition for consumers.,"['wait', 'ton', 'paperwork', 'bank', 'account', 'generate', 'value', 'proposition', 'consumer']",7,Competition
31,Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.,"['apps', 'link', 'grab', 'apps', 'transfer', 'money', 'topup', 'grab', 'account']",5,Credit card
32,Best digital bank in my opinion I prefer this over its competitors:),"['digital', 'bank', 'opinion', 'prefer', 'competitor']",0,App Responsiveness
33,"Well if u like to see growth everyday, this app gives u that. Set goals and see it grow towards it!","['growth', 'everyday', 'goal', 'grow']",8,Safety
34,Very convenient and easy to understand and use,"['convenient', 'understand']",0,App Responsiveness
35,"Why put an app on the store when you are not ready. All about the app now is collecting info. If you have heard yet, please use testflight for ur â€˜launchâ€™ aka beta testing ğŸ¤¦ğŸ»

Update: doesnâ€™t bode wellâ€¦ even response is so robotic n mundane. Might as well not respond and spend the time to build the app for a proper launch","['store', 'info', 'heard', 'please', 'testflight', 'launch', 'beta', 'update', 'bode', 'response', 'mundane', 'respond', 'spend', 'time', 'build', 'proper', 'launch']",1,Money Growth (Interest Rates)
36,"Noticed the news writing they offer 3.48% interest rate. After downloading the apps and trying to sign up, end up asked me to fill up my particular to  receive latest buzz updates.! 

If the bank isnâ€™t planing to offer, please stop advertising that. Thanks!","['news', 'offer', 'interest', 'rate', 'apps', 'sign', 'fill', 'receive', 'buzz', 'update', 'bank', 'offer', 'please', 'stop', 'advertising']",4,User Interface
37,Having problems logging onto the app. It says my phone cannot be used for GXS as it has been modified in someway. I just logged in this morning with the same phone with no problems. Please advice.,"['problem', 'phone', 'someway', 'morning', 'phone', 'problem', 'please', 'advice']",4,User Interface
38,Itâ€™s all good! Until recently a dropped of 0.8% interest rate in such a short notice and changes,"['interest', 'rate', 'notice', 'change']",4,User Interface
39,"Love the interface and saving pocket is so unique, canâ€™t wait to meet my deposit goal!","['love', 'interface', 'pocket', 'unique', 'wait', 'meet', 'deposit', 'goal']",3,Services & Products
40,The app is easy to navigate and optimise for people of all ages.,"['navigate', 'optimise', 'age']",7,Competition
41,"Brilliant app design, fast transactions, excellent rates. Keep up the good work! What more can I say?","['brilliant', 'design', 'fast', 'transaction', 'excellent', 'rate', 'work']",9,Customer trust
42,"The app is super easy to use, and I love the saving pockets that allow me to easily set money aside for my goals!","['super', 'love', 'pocket', 'money', 'goal']",4,User Interface
43,"There are a number of things that are great about GXS. 
1. Ease of use
2. daily interest 
3. No hassle with minimum sum","['number', 'thing', 'ease', 'interest', 'hassle', 'minimum']",7,Competition
44,"It doesnâ€™t make the company look reputable when they offer a high interest rate only to drop it immediately after gaining enough users. It feels like a bait, which it is. They should acquire deposits through more honest and transparent methods.","['company', 'look', 'offer', 'interest', 'rate', 'drop', 'user', 'feel', 'bait', 'deposit', 'honest', 'transparent', 'method']",5,Credit card
45,Easy to use and log in! Very clean instruction.,"['clean', 'instruction']",8,Safety
46,"Simple, straightforward to use with no bugs. Great experience","['simple', 'straightforward', 'bug', 'experience']",0,App Responsiveness
47,"Like the app design, especially the pockets for savings. Just waiting for the $5000 limit to be lifted.","['design', 'pocket', 'limit']",4,User Interface
48,"Received email invite from GXS saying that I am now able to open an account. After finishing the entire onboarding application I am told they are unable to proceed with my application saying â€œItâ€™s not you, itâ€™s usâ€. 

Ummmm okayyyy","['email', 'invite', 'account', 'application', 'told', 'proceed', 'application', 'ummmm', 'okayyyy']",7,Competition
49,Easy to use and nice UIUX. Saving pockets is an interesting and useful feature,"['uiux', 'pocket', 'feature']",9,Customer trust
50,"Is GXS looking into this issue? Going to be a week, still something is wrong. What happened to iOS user testing before roll out? Itâ€™s baffling the slow service recovery GXS is impressing upon iOS users.","['issue', 'week', 'something', 'user', 'roll', 'baffling', 'service', 'recovery', 'user']",0,App Responsiveness
51,GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as itâ€™s promises and this bank just lost it all. Will never use GXS again.,"['interest', 'pocket', 'change', 'interest', 'period', 'month', 'bank', 'promise', 'bank']",4,User Interface
52,"Personally donâ€™t like the theme, anyway allow user to change more brighter one?
Dark color me uncomfortable ğŸ˜","['theme', 'user', 'change', 'brighter', 'dark', 'color']",8,Safety
53,This is very good. Really very helpful. I Will keep in touch with them. ğŸ‘ŒğŸ½ğŸ˜,"['helpful', 'touch']",4,User Interface
54,Such a great service compared to Bank,"['service', 'bank']",0,App Responsiveness
55,Easy to use with high interest rate,"['interest', 'rate']",4,User Interface
56,You get the highest saving interest rate on the market,"['interest', 'rate', 'market']",4,User Interface
57,Show allow to increase amount not reduce and stay that way. For a first timer I didnâ€™t know that once I reduce amt I cannot get back the original amount that is given to me.,"['show', 'increase', 'amount', 'stay', 'timer', 'amount']",6,Login & Account Setup
58,"Income extracted from SingPass is incorrect.
Information in SingPass is correct
Which means the process of extracting information needs to be updated.","['income', 'singpass', 'incorrect', 'information', 'singpass', 'correct', 'mean', 'process', 'information', 'need']",2,Customer Services
59,This should be removed from App Store. A bank that is not even able to accept a customer sign up. What a joke from Grab and  Singtel.,"['store', 'bank', 'accept', 'customer', 'sign', 'joke', 'grab', 'singtel']",9,Customer trust
60,Loan disbursement was immediate. App is simple to use. Repayments just as easy.,"['loan', 'disbursement', 'immediate', 'simple', 'repayment']",0,App Responsiveness
61,Best and fast loan approval,"['fast', 'loan', 'approval']",1,Money Growth (Interest Rates)
62,"Extremely disappointed after downloading the app, waited and waited for it to open and still told to wait and wait and wait and wait and waitâ€¦â€¦â€¦â€¦â€¦..no ends!!!!!ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘","['told', 'wait', 'wait', 'wait', 'wait', 'wait', 'end']",6,Login & Account Setup
63,"I cannot open the app at all, even after updates it keeps telling something went wrong.","['update', 'something']",9,Customer trust
64,increase so much just to make us open account then now int rate worst than t bills. UI also so dark. not much use case except earn risk free rate. grab is expensive,"['increase', 'account', 'rate', 'bill', 'dark', 'case', 'earn', 'risk', 'rate', 'grab']",2,Customer Services
65,Gxs provide good interest for their pocket savings.,"['provide', 'interest', 'pocket']",4,User Interface
66,DO NOT USE THIS APP!!!! So frustrating on this app. 3 times I tried to move a small portion of money out of my pocket. 3 times the pocket becomes $0 straight away and I canâ€™t move/transfer my money out!!!!!!!!!!!!!,"['time', 'move', 'portion', 'money', 'pocket', 'time', 'pocket', 'straight', 'move', 'transfer', 'money']",3,Services & Products
67,Gave an application to open account but the bank decided to cancel opening new accounts and the â€œbankâ€ didnt even bother to inform clients! May be its a gods sign to save my money.,"['application', 'account', 'bank', 'cancel', 'opening', 'account', 'bank', 'didnt', 'bother', 'inform', 'client', 'god', 'sign', 'money']",7,Competition
68,"App keeps giving me â€œsomething went wrongâ€ and â€œitâ€™s not you, itâ€™s usâ€ notification whenever I attempt to log-in. Totally unusually at this time of writing.","['something', 'notification', 'whenever', 'attempt', 'time']",9,Customer trust
69,could you add a way to sign in using singpass password instead of only having to use the app?,"['sign', 'singpass', 'password']",3,Services & Products
70,"Not prepared? Then donâ€™t launch. See your direct competitor got a pure breeze of experience. Onboarding was swift and fast. Just think the reviews here are just made by the staff lol, focusing on UI/UX what a joke. Best UI/UX where others cannot experience YET.","['launch', 'competitor', 'pure', 'breeze', 'experience', 'swift', 'fast', 'think', 'review', 'staff', 'joke', 'experience']",0,App Responsiveness
71,"When you asked your staff to write a 5* review, donâ€™t just get them to write great app, easy to use or hurray. Write how did the app help you, how you benefit from the app and why the app is soooo good?","['staff', 'write', 'review', 'write', 'hurray', 'write', 'help', 'benefit', 'soooo']",1,Money Growth (Interest Rates)
72,"Love the modern design, user experience was great as well.","['love', 'design', 'user', 'experience']",9,Customer trust
73,"Pls improve your good service for any person who are really need it,hope the app can improve soon","['service', 'person', 'need', 'hope']",8,Safety
74,A whole new era of banking. Go GXS or go home! ğŸ’ªğŸ¼,"['banking', 'home']",5,Credit card
75,Sent me texts and email to tell me I am selected for flexi loan . But non is approved . Said borrow from $200 and above but canâ€™t even borrow $200 ğŸ˜‚ rejected all of my friend and family members . So who can borrow ? Millionaire ?,"['sent', 'text', 'email', 'tell', 'flexi', 'loan', 'borrow', 'borrow', 'friend', 'family', 'member', 'borrow', 'millionaire']",6,Login & Account Setup
76,"Fair and transparent loans.
Interest is not like the atypical bank that is out to profit and cripple the debtor.","['fair', 'transparent', 'loan', 'interest', 'bank', 'profit', 'cripple', 'debtor']",4,User Interface
77,Keep creating account to write fake 5 star reviews when your app is so buggy and processing time is so slow. Worst banking app ever!,"['account', 'write', 'fake', 'star', 'review', 'buggy', 'processing', 'time', 'banking']",2,Customer Services
78,"Useless, lacks features and does not provide any improvement from traditional banks available in Singapore","['useless', 'lack', 'feature', 'provide', 'improvement', 'bank', 'singapore']",7,Competition
79,"Reduced interest from 3.48 to 2.68% in less than a month, kenna baited to start an account here. Have removed all my funds and closed my account.","['interest', 'le', 'month', 'kenna', 'start', 'account', 'fund', 'account']",5,Credit card
80,"THIS LITERALLY SAVED ME, i recommendation is high as the giant touches the sky","['recommendation', 'giant', 'touch']",4,User Interface
81,When I sign up canâ€™t sign up always say oops something went wrong please try again,"['sign', 'sign', 'something', 'please']",8,Safety
82,Great plat form â€¦ easy to use and hassle free.,"['plat', 'form', 'hassle']",3,Services & Products
83,reliable and quick response,"['quick', 'response']","1,2",Money Growth (Interest Rates) & Customer Services
84,Pockets are unique and useful,"['pocket', 'unique']",3,Services & Products
85,Good interest rate on pockets and great user experience.,"['interest', 'rate', 'pocket', 'user', 'experience']",4,User Interface
86,Love the savings pockets and daily interest!,"['love', 'pocket', 'interest']",4,User Interface
87,Did an intern write that script? Nice.,"['intern', 'write', 'script']",4,User Interface
88,Nice And Fast Bank,"['fast', 'bank']",2,Customer Services
89,Best get back to the drawing board. Design thinking  forget about the  many â€œdumbâ€ users out there including me.,"['board', 'design', 'forget', 'dumb', 'user']",3,Services & Products
90,"What if I urgently need access to my money? This is not the way to go.
ğŸ¤¬","['need', 'access', 'money']",2,Customer Services
91,Deleted the app. Sick of it serving no other purpose currently than being a lead generator.,"['sick', 'purpose', 'lead', 'generator']",6,Login & Account Setup
92,"Access to funds blocked, no transparency apart from it being a recognized technical issue, no ETA and no communications from Grab or Singtel.","['access', 'fund', 'transparency', 'issue', 'communication', 'grab', 'singtel']",0,App Responsiveness
93,"app is really easy to navigate, user-friendly","['navigate', 'user']",3,Services & Products
94,Unable to sign in to account,"['sign', 'account']",7,Competition
95,Is this really an authentic app for GXS? Looks cheap.,"['look', 'cheap']",6,Login & Account Setup
96,save ur money and grow,"['money', 'grow']",5,Credit card
97,Lack the basic function to save a payee,"['lack', 'function', 'payee']",3,Services & Products
98,"useless app.  unable to join or open account,
app is not open to all in sg","['useless', 'join', 'account']",5,Credit card
99,Great features! Love it!,"['feature', 'love']",4,User Interface
100,first bank to reduce interest rates for savings but interest rates for loans stay high,"['bank', 'interest', 'rate', 'interest', 'rate', 'loan', 'stay']",4,User Interface
101,"I was trying to make payment using Paynow Qr code using scan and pay. Merchant create a dynamic QR code of payment $15.7 but the GXS app scan and pay read in as $15.07
Pls advice to correct the mistake as it make me and merchant very inconvenience.","['payment', 'paynow', 'code', 'merchant', 'create', 'code', 'payment', 'read', 'advice', 'correct', 'mistake', 'merchant', 'inconvenience']",6,Login & Account Setup
102,"21 Jul 23:
The integration on iPad is off. The first time login requires SingPass as a safety feature but it doesnâ€™t generate a QR Code. Devs should consider a workaround. 

Pending dev feedback before rating change.","['integration', 'ipad', 'time', 'login', 'singpass', 'safety', 'feature', 'generate', 'code', 'devs', 'workaround', 'feedback', 'rating', 'change']",6,Login & Account Setup
